iter	Passed	Remaining
890	22242	2721
891	22261	2695
892	22282	2669
893	22304	2644
894	22322	2618
895	22340	2593
896	22358	2567
897	22375	2541
898	22393	2515
899	22410	2490
900	22426	2464
901	22442	2438
902	22459	2412
903	22474	2386
904	22494	2361
905	22512	2335
906	22536	2310
907	22559	2285
908	22585	2261
909	22606	2235
910	22627	2210
911	22650	2185
912	22671	2160
913	22700	2135
914	22728	2111
915	22753	2086
916	22772	2061
917	22790	2035
918	22808	2010
919	22825	1984
920	22851	1960
921	22892	1936
922	22914	1911
923	22936	1886
924	22962	1861
925	22985	1836
926	23003	1811
927	23021	1786
928	23039	1760
929	23060	1735
930	23080	1710
931	23103	1685
932	23123	1660
933	23146	1635
934	23197	1612
935	23228	1588
936	23255	1563
937	23279	1538
938	23301	1513
939	23329	1489
940	23357	1464
941	23382	1439
942	23405	1414
943	23428	1389
944	23449	1364
945	23473	1339
946	23495	1314
947	23516	1289
948	23540	1265
949	23571	1240
950	23595	1215
951	23618	1190
952	23688	1168
953	23726	1144
954	23754	1119
955	23782	1094
956	23803	1069
957	23853	1045
958	23872	1020
959	23895	995
960	23916	970
961	23936	945
962	23958	920
963	23977	895
964	23998	870
965	24019	845
966	24035	820
967	24054	795
968	24076	770
969	24095	745
970	24113	720
971	24133	695
972	24154	670
973	24174	645
974	24193	620
975	24213	595
976	24232	570
977	24250	545
978	24267	520
979	24284	495
980	24302	470
981	24321	445
982	24341	420
983	24357	396
984	24373	371
985	24390	346
986	24405	321
987	24424	296
988	24444	271
989	24461	247
990	24478	222
991	24498	197
992	24516	172
993	24533	148
994	24552	123
995	24571	98
996	24591	73
997	24613	49
998	24638	24
999	24662	0
